Precisão/Revocação;Padrão;jplag-10.csv;jplag-11.csv;jplag-12.csv;jplag-13.csv;jplag-14.csv;jplag-15.csv;jplag-16.csv;jplag-17.csv;jplag-18.csv;jplag-19.csv;jplag-1.csv;jplag-20.csv;jplag-21.csv;jplag-22.csv;jplag-23.csv;jplag-24.csv;jplag-25.csv;jplag-26.csv;jplag-27.csv;jplag-28.csv;jplag-29.csv;jplag-2.csv;jplag-30.csv;jplag-31.csv;jplag-32.csv;jplag-33.csv;jplag-34.csv;jplag-35.csv;jplag-36.csv;jplag-37.csv;jplag-38.csv;jplag-39.csv;jplag-3.csv;jplag-40.csv;jplag-41.csv;jplag-42.csv;jplag-43.csv;jplag-44.csv;jplag-45.csv;jplag-46.csv;jplag-47.csv;jplag-48.csv;jplag-49.csv;jplag-4.csv;jplag-50.csv;jplag-5.csv;jplag-6.csv;jplag-7.csv;jplag-8.csv;jplag-9.csv
0%;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10%;1;0,9077305;0,9084551;0,9084551;0,9131653;0,9131653;0,9131653;0,9131653;0,9131653;0,895774;0,8986725;0,7114961;0,8986725;0,8986725;0,8986725;0,9131653;0,9131653;0,9131653;0,9131653;0,9131653;0,9131653;0,9131653;0,7260524;0,9131653;0,9131653;0,9131653;0,914808;0,9160503;0,9313241;0,9313712;0,9269716;0,9269716;0,8648598;0,8668896;0,8648598;0,8648598;0,8649068;0,8550254;0,8550254;0,8136175;0,8136175;0,8136175;0,8136646;0,8136646;0,8536338;0,8136646;0,9288302;0,9396998;0,9186;0,9004841;0,9077305
20%;1;0,520541;0,5471111;0,5557463;0,5898043;0,6084378;0,6270714;0,6283654;0,6687381;0,6759844;0,7013468;0,3867013;0,7013468;0,7013468;0,7013468;0,7122163;0,7122163;0,7122163;0,7122163;0,7122163;0,7122163;0,7122163;0,4266433;0,7122163;0,7122163;0,7122163;0,7147225;0,7165341;0,7240102;0,7240961;0,7167125;0,7167125;0,5878437;0,5173412;0,5678293;0,5678293;0,5679152;0,5308994;0,5308994;0,4905267;0,4905267;0,4905267;0,4906126;0,451087;0,5325638;0,451087;0,5649423;0,5899719;0,5733397;0,4750053;0,4879323
30%;1;0,5157671;0,5373745;0,5471958;0,5806327;0,5992662;0,6178998;0,6191938;0,6450737;0,6500426;0,6596982;0,4361268;0,6596982;0,6814373;0,6814373;0,7118721;0,7118721;0,7118721;0,7118721;0,7118721;0,7118721;0,7118721;0,4713012;0,7118721;0,7118721;0,7118721;0,7145528;0,7166232;0,7199438;0,7200887;0,690674;0,690674;0,6046545;0,4857061;0,584758;0,584758;0,5849029;0,5508035;0,5508035;0,5104309;0,5104309;0,5104309;0,5105758;0,4018802;0,4902121;0,4018802;0,5097665;0,5432136;0,4973953;0,4723713;0,4875062
40%;1;0,476313;0,4964993;0,5083063;0,5395779;0,5760885;0,5923928;0,5944831;0,6182197;0,5841617;0,5938235;0,4518153;0,5938235;0,6218429;0,6218429;0,6629057;0,6629057;0,6629057;0,6629057;0,6629057;0,6629057;0,6629057;0,482467;0,6629057;0,6629057;0,6629057;0,6660253;0,6681992;0,6514889;0,6516562;0,6082655;0,6082655;0,5910315;0,4883298;0,5725254;0,5725254;0,5726926;0,5022355;0,5022355;0,5022355;0,5022355;0,5022355;0,5024027;0,4125477;0,4946117;0,4125477;0,5252183;0,5553307;0,5041375;0,4849193;0,4741391
50%;1;0,3866918;0,4367788;0,4572196;0,4845461;0,5116086;0,5406447;0,5473499;0,5675445;0,5675445;0,5722633;0,4059045;0,5722633;0,5884249;0,5884249;0,6158168;0,6158168;0,6158168;0,6158168;0,6158168;0,6158168;0,6158168;0,4244105;0,6158168;0,6158168;0,6158168;0,6172108;0,6194067;0,6278732;0,6280745;0,5794512;0,5794512;0,5017102;0,427505;0,4314606;0,4314606;0,4316619;0,4329738;0,4329738;0,4329738;0,4341815;0,4341815;0,4343828;0,4468052;0,4423976;0,4468052;0,4772781;0,4874512;0,4526091;0,4374196;0,3866115
60%;1;0,400401;0,4548317;0,4755763;0,5028534;0,5269846;0,556109;0,5628775;0,5830964;0,5830964;0,587636;0,3984832;0,587636;0,603578;0,603578;0,6293027;0,6293027;0,6293027;0,6293027;0,6293027;0,6293027;0,6293027;0,4131191;0,6293027;0,6293027;0,6293027;0,6310638;0,6332377;0,6405835;0,6407977;0,5916792;0,5916792;0,5132261;0,4402034;0,4430023;0,4430023;0,4432165;0,4446158;0,4446158;0,4446158;0,4459009;0,4459009;0,446115;0,4569846;0,4569628;0,4569846;0,4896697;0,4989766;0,4477853;0,450343;0,4003207
70%;1;0,4141715;0,4694826;0,4917278;0,4981832;0,5163918;0,532874;0,5389127;0,5472175;0,5472175;0,5514359;0,4140923;0,5514359;0,5661603;0,5661603;0,5894993;0,5894993;0,5894993;0,5894993;0,5894993;0,5894993;0,5894993;0,4251012;0,5894993;0,5894993;0,5894993;0,5705867;0,5748687;0,5825584;0,5827833;0,4601258;0,4601258;0,4645033;0,4558657;0,4649531;0,4649531;0,465178;0,4666506;0,4666506;0,4666506;0,4679999;0,4679999;0,4682248;0,4778867;0,4749277;0,4778867;0,5111796;0,507069;0,4666462;0,4651799;0,4140716
80%;1;0,4413591;0,4972787;0,5196572;0,5259921;0,5423428;0,5586404;0,5646392;0,5728916;0,5728916;0,5769289;0,4236524;0,5769289;0,5911887;0,5911887;0,613109;0,613109;0,613109;0,613109;0,613109;0,613109;0,613109;0,4342268;0,613109;0,613109;0,613109;0,5942194;0,5984435;0,605178;0,6054191;0,4801487;0,4801487;0,4848458;0,4479209;0,485328;0,485328;0,485569;0,4871542;0,4871542;0,4871542;0,4886005;0,4886005;0,4888416;0,4975372;0,4602249;0,4975372;0,4912132;0,4646506;0,4635974;0,4728906;0,4412592
90%;1;0,4546069;0,5109556;0,5325056;0,5347094;0,5573096;0,5735861;0,5797054;0,5880092;0,5880092;0,5918749;0,35241;0,5918749;0,6057474;0,6057474;0,6264914;0,6264914;0,6264914;0,6264914;0,6264914;0,6264914;0,6264914;0,360074;0,6264914;0,6264914;0,6264914;0,6058507;0,6102728;0,6018969;0,6021439;0,4984886;0,4984886;0,5033406;0,3754161;0,5038347;0,5038347;0,5040818;0,5057093;0,5057093;0,5057093;0,5071915;0,5071915;0,5074385;0,5153437;0,3805336;0,5153437;0,4087837;0,4051788;0,4074144;0,4258061;0,4541356
100%;1;0,3724193;0,4138112;0,4291562;0,4341425;0,4538079;0,4644678;0,4706379;0,4761979;0,4761979;0,4792429;0,2509083;0,4792429;0,4891204;0,4891204;0,5052091;0,5052091;0,5052091;0,5052091;0,5052091;0,5052091;0,5052091;0,2798939;0,5052091;0,5052091;0,5052091;0,441864;0,4464202;0,4667755;0,4670312;0,4785001;0,4785001;0,4835602;0,2987275;0,4840717;0,4840717;0,4843274;0,4860183;0,4860183;0,4860183;0,4875528;0,4875528;0,4878085;0,4950549;0,2960409;0,4950549;0,3228073;0,3349881;0,3391792;0,3495986;0,3719255
